model_label,with_glm,rmse.per_sample.temperature.mean,rmse.per_sample.temperature.std,rmse.per_sample.density.mean,rmse.per_sample.density.std,rmse.mean.temperature.mean,rmse.mean.temperature.std,physical_inconsistency.per_sample.mean,physical_inconsistency.per_sample.std,physical_inconsistency.mean.mean,physical_inconsistency.mean.std,params
LSTM,true,2.513585090637207,0.773293673992157,0.0012181997299194336,0.0005898327799513936,1.8642337322235107,0.8399070501327515,0.36328426003456116,0.122080959379673,0.3676930069923401,0.12354671955108643,best
LSTM,false,2.818798780441284,0.7648959755897522,0.000994254951365292,0.0003238674544263631,2.1598384380340576,0.8776841163635254,0.4759616255760193,0.0658794417977333,0.43418121337890625,0.17250791192054749,their
LSTM,true,2.452910900115967,0.8020596504211426,0.000524071860127151,0.00019631857867352664,1.9144903421401978,0.8819724321365356,0.41646143794059753,0.06446484476327896,0.184292733669281,0.07840441167354584,their
LSTM-PGA,true,1.8371995687484741,0.8327757120132446,0.0006964973290450871,0.000363554252544418,1.8298771381378174,0.8291777968406677,0.0,0.0,0.0,0.0,best
LSTM-PGA,false,2.524427652359009,0.9474462866783142,0.000898911093827337,0.00045344041427597404,2.465688705444336,0.8854206800460815,0.0,0.0,0.0,0.0,their
LSTM-PGA,true,1.7859456539154053,0.8724054098129272,0.0007950535509735346,0.0003402125439606607,1.703877329826355,0.8553621172904968,0.0,0.0,0.0,0.0,their
LSTM-PGL,true,2.5502729415893555,0.7725434899330139,0.0016718790866434574,0.0004010468255728483,1.8283970355987549,0.8900739550590515,0.2721775770187378,0.08481989055871964,0.004908523056656122,0.01255800575017929,best
LSTM-PGL,false,2.9926998615264893,0.8462908864021301,0.00097549898782745,0.0003033579559996724,2.2593507766723633,1.0109126567840576,0.40145471692085266,0.09926065802574158,0.376171350479126,0.12310432642698288,their
LSTM-PGL,true,2.535170316696167,0.7960022687911987,0.0008601288427598774,0.0002712840214371681,1.7350941896438599,0.9246053099632263,0.42224007844924927,0.06792748719453812,0.12271305173635483,0.08389349281787872,their
